strain amplitude,frequency
7.909723455772316e-22,10.006582900678298
7.910502322777783e-22,10.008083999942496
7.911281265590062e-22,10.00958532438834
7.912060284216434e-22,10.011086874049644
7.912839378664147e-22,10.012588648960168
7.913618548940472e-22,10.014090649153719
7.914397795052665e-22,10.015592874664064
7.915177117008005e-22,10.017095325525034
7.915956514813747e-22,10.018598001770417
7.916735988477166e-22,10.020100903434027
7.917515538005533e-22,10.021604030549698
7.91829516340611e-22,10.02310738315123
7.91907486468617e-22,10.024610961272456
7.919854641852973e-22,10.026114764947195
7.920634494913806e-22,10.027618794209308
7.921414423875928e-22,10.029123049092616
7.922194428746621e-22,10.03062752963098
7.92297450953314e-22,10.032132235858224
7.923754666242767e-22,10.03363716780821
7.924534898882774e-22,10.035142325514805
7.925315207460441e-22,10.03664770901188
7.926095591983041e-22,10.038153318333308
7.926876052457848e-22,10.039659153512954
7.9276565888921385e-22,10.041165214584707
7.928437201293195e-22,10.04267150158245
7.929217889668293e-22,10.044178014540083
7.92999865402471e-22,10.045684753491493
7.930779494369724e-22,10.047191718470579
7.931560410710617e-22,10.048698909511256
7.932341403054674e-22,10.05020632664744
7.933122471409163e-22,10.051713969913026
7.933903615781379e-22,10.053221839341951
7.934684836178607e-22,10.054729934968154
7.935466132608129e-22,10.056238256825566
7.9362475050772175e-22,10.057746804948096
7.937028953593167e-22,10.059255579369706
7.937810478163262e-22,10.060764580124342
7.938592078794791e-22,10.062273807245955
7.939373755495039e-22,10.063783260768508
7.940155508271287e-22,10.065292940725946
7.940937337130823e-22,10.066802847152243
7.941719242080952e-22,10.068312980081389
7.942501223128953e-22,10.069823339547348
7.9432832802821185e-22,10.071333925584108
7.944065413547741e-22,10.072844738225658
7.944847622933114e-22,10.074355777505989
7.945629908445519e-22,10.075867043459093
7.9464122700922575e-22,10.077378536118976
7.947194707880621e-22,10.078890255519644
7.947977221817909e-22,10.080402201695119
7.948759811911418e-22,10.08191437467943
7.949542478168439e-22,10.083426774506583
7.950325220596266e-22,10.084939401210608
7.9511080392022065e-22,10.086452254825545
7.951890933993546e-22,10.087965335385428
7.9526739049775985e-22,10.089478642924307
7.953456952161648e-22,10.090992177476226
7.954240075553014e-22,10.092505939075263
7.955023275158976e-22,10.094019927755438
7.9558065509868455e-22,10.095534143550841
7.956589903043928e-22,10.097048586495536
7.957373331337523e-22,10.098563256623597
7.958156835874934e-22,10.100078153969108
7.958940416663467e-22,10.101593278566149
7.959724073710417e-22,10.1031086304488
7.960507807023111e-22,10.104624209651192
7.96129161660884e-22,10.106140016207387
7.962075502474911e-22,10.107656050151505
7.962859464628634e-22,10.109172311517657
7.963643503077321e-22,10.110688800339963
7.96442761782828e-22,10.112205516652535
7.965211808888817e-22,10.113722460489509
7.965996076266251e-22,10.115239631885013
7.966780419967886e-22,10.116757030873176
7.9675648400010315e-22,10.118274657488142
